order_id,order_date,order_hour,order_weekday,is_weekend,is_holiday,is_sale_period,customer_city,customer_state,customer_zone,customer_tier,warehouse_id,warehouse_city,same_zone_delivery,product_category,product_weight_g,product_price_inr,discount_percent,final_price_inr,shipping_mode,payment_method,promised_days,actual_days,promised_date,actual_date,delay_days,is_delayed,delay_category,delivery_attempts,customer_rating,return_requested,weather_conditions,traffic_conditions
FK2023000001,2023-11-24,12,Friday,0,0,0,Delhi,Delhi,North,Tier1,WH005,Hyderabad,0,Books,765,612.4,15,520.54,Express,UPI,3,8,2023-11-27,2023-12-02,5,1,Moderate Delay,2,3,1,Fog,Heavy
FK2023000002,2023-03-13,22,Monday,0,0,0,Amritsar,Punjab,North,Tier3,WH002,Mumbai,0,Automotive,5044,4640.61,30,3248.43,Standard,UPI,5,7,2023-03-18,2023-03-20,2,1,Slight Delay,1,4,0,Rain,Heavy
FK2023000003,2023-01-16,11,Monday,0,0,0,Jaipur,Rajasthan,North,Tier2,WH004,Kolkata,0,Furniture,7960,23891.36,60,9556.54,Express,UPI,3,2,2023-01-19,2023-01-18,-1,0,Early,1,5,0,Rain,Moderate
FK2023000004,2023-01-14,7,Saturday,1,0,0,Indore,Madhya Pradesh,Central,Tier2,WH007,Chandigarh,0,Books,764,775.94,40,465.56,Express,UPI,3,3,2023-01-17,2023-01-17,0,0,On Time,1,4,0,Clear,Light
FK2023000005,2023-10-29,6,Sunday,1,0,0,Kolkata,West Bengal,East,Tier1,WH003,Bengaluru,0,Beauty,459,591.68,25,443.76,Express,UPI,3,3,2023-11-01,2023-11-01,0,0,On Time,1,5,0,Clear,Light
FK2023000006,2023-05-23,21,Tuesday,0,0,0,Chennai,Tamil Nadu,South,Tier1,WH006,Bhopal,0,Fashion,905,3110.13,5,2954.62,Same-Day,UPI,1,3,2023-05-24,2023-05-26,2,1,Slight Delay,1,3,0,Storm,Moderate
FK2023000007,2023-07-14,12,Friday,0,0,0,Lucknow,Uttar Pradesh,North,Tier2,WH006,Bhopal,0,Automotive,1901,11082.57,20,8866.06,Standard,Net Banking,5,5,2023-07-19,2023-07-19,0,0,On Time,1,4,1,Clear,Light
FK2023000008,2023-08-24,19,Thursday,0,0,0,Bhopal,Madhya Pradesh,Central,Tier2,WH007,Chandigarh,0,Fashion,736,3726.33,50,1863.16,Express,UPI,3,8,2023-08-27,2023-09-01,5,1,Moderate Delay,2,2,1,Clear,Moderate
FK2023000009,2023-05-31,11,Wednesday,0,0,0,Raipur,Chhattisgarh,Central,Tier3,WH004,Kolkata,0,Fashion,392,3729.15,0,3729.15,Standard,Cash on Delivery,7,11,2023-06-07,2023-06-11,4,1,Moderate Delay,2,2,0,Rain,Heavy
FK2023000010,2023-04-27,14,Thursday,0,0,0,Kolkata,West Bengal,East,Tier1,WH004,Kolkata,1,Fashion,570,2309.44,30,1616.61,Standard,UPI,4,4,2023-05-01,2023-05-01,0,0,On Time,1,5,0,Rain,Light
FK2023000011,2023-08-21,10,Monday,0,0,0,Bhubaneswar,Odisha,East,Tier2,WH006,Bhopal,0,Toys,909,3851.09,15,3273.43,Standard,UPI,7,13,2023-08-28,2023-09-03,6,1,Severe Delay,3,1,0,Fog,Heavy
FK2023000012,2023-05-17,19,Wednesday,0,0,0,Agra,Uttar Pradesh,North,Tier3,WH003,Bengaluru,0,Furniture,4544,44842.83,15,38116.41,Standard,Net Banking,5,6,2023-05-22,2023-05-23,1,1,Slight Delay,1,3,0,Fog,Heavy
FK2023000013,2023-08-25,20,Friday,0,0,0,Ahmedabad,Gujarat,West,Tier1,WH004,Kolkata,0,Toys,162,2700.51,0,2700.51,Express,UPI,3,3,2023-08-28,2023-08-28,0,0,On Time,1,4,0,Fog,Heavy
FK2023000014,2023-04-28,17,Friday,0,0,0,Lucknow,Uttar Pradesh,North,Tier2,WH007,Chandigarh,1,Sports,1218,7788.37,5,7398.95,Same-Day,UPI,1,1,2023-04-29,2023-04-29,0,0,On Time,1,3,0,Clear,Moderate
FK2023000015,2023-04-19,14,Wednesday,0,0,0,Ujjain,Madhya Pradesh,Central,Tier3,WH006,Bhopal,1,Books,136,295.05,70,88.52,Express,UPI,2,2,2023-04-21,2023-04-21,0,0,On Time,1,4,0,Clear,Heavy
FK2023000016,2023-09-13,18,Wednesday,0,0,0,Vadodara,Gujarat,West,Tier2,WH008,Pune,1,Home & Kitchen,2129,11059.14,20,8847.31,Standard,Debit Card,3,2,2023-09-16,2023-09-15,-1,0,Early,1,5,0,Clear,Heavy
FK2023000017,2023-05-07,9,Sunday,1,0,0,Gwalior,Madhya Pradesh,Central,Tier3,WH005,Hyderabad,0,Automotive,532,12022.41,30,8415.69,Standard,UPI,7,10,2023-05-14,2023-05-17,3,1,Moderate Delay,1,3,0,Rain,Heavy
FK2023000018,2023-07-24,21,Monday,0,0,1,Bhubaneswar,Odisha,East,Tier2,WH003,Bengaluru,0,Furniture,3612,18371.18,40,11022.71,Standard,Cash on Delivery,5,8,2023-07-29,2023-08-01,3,1,Moderate Delay,3,2,0,Fog,Heavy
FK2023000019,2023-01-25,10,Wednesday,0,0,0,Jaipur,Rajasthan,North,Tier2,WH003,Bengaluru,0,Beauty,91,1804.71,60,721.88,Same-Day,Debit Card,1,1,2023-01-26,2023-01-26,0,0,On Time,1,5,0,Clear,Light
FK2023000020,2023-02-02,18,Thursday,0,0,0,Surat,Gujarat,West,Tier2,WH008,Pune,1,Furniture,13198,6038.72,20,4830.98,Standard,Cash on Delivery,3,4,2023-02-05,2023-02-06,1,1,Slight Delay,2,2,1,Rain,Moderate
FK2023000021,2023-12-15,15,Friday,0,0,0,Amritsar,Punjab,North,Tier3,WH005,Hyderabad,0,Toys,1430,3364.22,5,3196.01,Standard,Debit Card,6,10,2023-12-21,2023-12-25,4,1,Moderate Delay,2,3,0,Rain,Heavy
FK2023000022,2023-08-11,15,Friday,0,0,0,Kochi,Kerala,South,Tier2,WH001,Delhi,0,Sports,462,3257.87,50,1628.93,Standard,UPI,5,10,2023-08-16,2023-08-21,5,1,Moderate Delay,2,3,0,Fog,Heavy
FK2023000023,2023-09-17,15,Sunday,1,0,0,Amritsar,Punjab,North,Tier3,WH005,Hyderabad,0,Furniture,10357,11371.66,60,4548.66,Standard,UPI,5,6,2023-09-22,2023-09-23,1,1,Slight Delay,2,5,0,Storm,Heavy
FK2023000024,2023-03-20,12,Monday,0,0,0,Bhubaneswar,Odisha,East,Tier2,WH001,Delhi,0,Automotive,388,18602.21,25,13951.66,Standard,EMI,6,6,2023-03-26,2023-03-26,0,0,On Time,1,5,0,Clear,Moderate
FK2023000025,2023-01-10,11,Tuesday,0,0,0,Lucknow,Uttar Pradesh,North,Tier2,WH005,Hyderabad,0,Books,218,489.76,0,489.76,Same-Day,Debit Card,1,4,2023-01-11,2023-01-14,3,1,Moderate Delay,3,1,0,Fog,Moderate
FK2023000026,2023-05-04,20,Thursday,0,0,0,Bhopal,Madhya Pradesh,Central,Tier2,WH002,Mumbai,0,Grocery,3755,712.16,5,676.55,Express,Credit Card,3,3,2023-05-07,2023-05-07,0,0,On Time,1,5,0,Rain,Heavy
FK2023000027,2023-09-30,14,Saturday,1,0,0,Chennai,Tamil Nadu,South,Tier1,WH008,Pune,0,Furniture,10528,40318.17,10,36286.35,Express,Debit Card,3,3,2023-10-03,2023-10-03,0,0,On Time,1,5,0,Clear,Light
